Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Work Hours per Week,Sleep Hours,Work-Life Balance Score,Manager Support Score,Deadline Pressure Score,Team Size,Recognition Frequency,Rango_Descanso
Female,Service,Yes,3,6,7.5,0.59,55,5.1,1,1,4,12,1,5.5
Male,Service,No,4,10,10.0,0.94,52,7.5,1,3,4,10,0,7.5
Female,Product,No,3,6,7.7,0.61,48,6.2,2,1,5,6,1,6.5
Female,Product,Yes,1,3,6.0,0.37,44,7.4,4,3,3,13,4,7.5
Male,Service,No,2,6,7.4,0.65,59,5.3,2,3,5,6,0,5.5
Female,Service,Yes,2,5,6.4,0.49,57,6.5,2,1,5,4,0,6.5
Male,Service,Yes,1,3,5.6,0.38,37,6.2,3,3,3,15,5,6.5
Male,Product,No,2,5,7.4,0.62,54,5.5,1,2,4,16,0,5.5
Female,Product,Yes,3,5,6.1,0.39,37,7.7,3,4,3,3,3,8.0
Female,Product,Yes,2,4,3.1,0.15,44,7.4,5,3,3,14,2,7.5
Male,Service,No,2,5,8.0,0.61,58,4.4,1,2,4,6,0,4.5
Female,Product,No,1,2,4.0,0.26,39,7.3,3,4,1,3,4,7.5
Female,Service,No,2,2,3.6,0.28,43,6.3,4,5,3,17,3,6.5
Male,Product,Yes,2,5,8.7,0.71,50,5.9,2,1,4,6,1,6.0
Male,Product,No,3,6,8.0,0.68,52,5.9,1,1,5,6,1,6.0
Female,Service,No,3,5,6.8,0.57,58,5.3,1,1,4,14,0,5.5
Female,Service,Yes,2,3,4.9,0.39,43,6.7,3,3,3,9,4,7.0
Female,Product,No,3,6,7.9,0.61,59,5.2,2,3,5,4,0,5.5
Male,Product,No,3,6,7.6,0.62,55,5.8,2,3,4,12,1,6.0
Female,Service,No,5,9,9.2,0.8,56,5.8,1,3,4,5,1,6.0
Male,Service,Yes,4,6,6.5,0.63,53,5.5,1,3,4,12,0,5.5
Female,Service,No,3,5,6.8,0.6,49,4.9,2,2,4,11,1,5.0
Female,Product,No,4,8,8.7,0.79,59,5.6,1,3,5,12,0,6.0
Male,Service,Yes,2,5,6.2,0.39,40,6.7,3,3,3,19,5,7.0
Female,Service,No,3,5,5.8,0.36,44,6.0,3,4,2,18,4,6.0
Female,Product,No,2,4,6.6,0.5,59,4.6,2,1,4,17,0,5.0
Male,Product,No,4,7,8.2,0.72,52,6.0,2,2,4,16,1,6.0
Female,Service,Yes,2,3,4.9,0.34,43,7.2,4,5,1,9,3,7.5
Female,Service,No,1,2,4.1,0.27,38,6.8,5,3,1,3,4,7.0
Male,Service,No,3,7,7.4,0.66,49,6.1,1,2,4,11,0,6.5
Female,Product,Yes,0,1,1.9451415346076295,0.04,36,7.2,5,4,2,13,2,7.5
Male,Service,Yes,1,2,4.4,0.27,43,7.1,4,5,2,14,5,7.5
Female,Service,No,2,6,6.9,0.67,59,5.1,1,3,4,18,1,5.5
Female,Product,Yes,1,2,5.3,0.38,35,6.2,4,5,1,6,5,6.5
Female,Service,Yes,2,2,4.3,0.28,38,6.8,3,3,3,7,4,7.0
Male,Product,Yes,0,1,0.8,0.05,38,7.6,4,5,3,15,4,8.0
Female,Service,Yes,2,4,2.9,0.22,38,7.3,3,3,3,10,4,7.5
Female,Service,Yes,1,3,5.0,0.39,35,6.6,5,4,1,18,2,7.0
Male,Service,Yes,1,4,6.9,0.52,59,5.3,1,3,5,12,0,5.5
Female,Service,No,3,5,4.7,0.39,37,6.7,5,4,2,11,4,7.0
Female,Service,No,1,3,2.0,0.11,38,7.3,4,4,3,3,4,7.5
Female,Service,No,2,4,5.4,0.44,59,6.0,1,2,4,14,1,6.0
Male,Product,No,2,5,6.1,0.5,51,6.3,1,2,4,16,1,6.5
Female,Product,Yes,1,4,5.1,0.41,48,5.9,2,3,4,14,1,6.0
Male,Product,No,4,9,8.486723202431543,0.76,57,5.4,1,1,5,14,1,5.5
Female,Service,Yes,3,5,4.7,0.43,57,5.0,1,2,4,6,1,5.0
Male,Service,Yes,3,5,5.4,0.46,59,5.0,2,2,5,8,0,5.0
Female,Service,No,4,7,9.1,0.85,59,5.9,2,1,5,14,1,6.0
Male,Service,Yes,1,3,5.0,0.35,41,7.0,3,3,2,8,4,7.0
Male,Product,No,1,1,0.0,0.0,36,7.3,4,3,1,19,4,7.5
Male,Product,Yes,2,4,4.3,0.34,40,6.7,3,3,3,13,5,7.0
Female,Service,Yes,2,4,6.7,0.44,51,5.4,1,3,4,8,0,5.5
Female,Product,No,2,5,5.7,0.55,48,6.8,1,2,4,18,0,7.0
Male,Service,Yes,4,6,6.8,0.62,59,5.8,1,1,5,16,1,6.0
Male,Service,No,3,6,7.6,0.72,52,5.0,1,2,4,13,0,5.0
Male,Product,Yes,3,8,8.3,0.71,57,5.5,1,1,5,11,0,5.5
Female,Product,No,1,3,5.5,0.39,35,6.3,4,5,3,17,4,6.5
Female,Service,No,1,3,5.3,0.48,53,4.8,2,3,4,15,1,5.0
Female,Service,No,3,7,8.0,0.7,49,5.6,2,3,4,3,1,6.0
Male,Service,Yes,4,6,6.4,0.56,51,6.0,1,2,5,18,0,6.0
Female,Service,Yes,1,3,3.6,0.27,37,7.3,4,5,2,13,3,7.5
Female,Product,Yes,2,5,7.0,0.66,56,5.3,2,3,5,12,0,5.5
Female,Product,No,3,7,7.6,0.56,54,5.1,1,2,4,17,0,5.5
Male,Service,No,2,5,8.7,0.79,55,5.8,1,1,5,4,1,6.0
Female,Product,Yes,0,1,2.6,0.18,36,6.3,5,4,3,9,4,6.5
Female,Service,Yes,2,4,4.7,0.33,42,6.0,3,3,2,16,3,6.0
Male,Service,Yes,2,4,6.4,0.4,42,7.3,4,5,1,10,4,7.5
Female,Service,No,2,5,5.8,0.39,40,8.2,4,3,2,8,5,8.5
Female,Service,No,1,1,3.3,0.23,41,6.8,3,3,2,5,3,7.0
Female,Product,Yes,2,4,5.9,0.45,59,5.5,1,3,5,19,1,5.5
Female,Product,No,2,5,7.8,0.67,50,5.6,2,1,4,4,0,6.0
Male,Product,Yes,1,3,7.0,0.52,55,6.0,1,2,4,15,1,6.0
Female,Service,No,4,7,7.2,0.6,58,5.4,1,2,4,6,1,5.5
Male,Service,Yes,3,7,7.9,0.59,54,5.6,2,2,4,3,0,6.0
Female,Service,Yes,1,3,5.9,0.36,43,7.6,3,3,1,15,3,8.0
Male,Service,No,1,3,4.4,0.29,35,7.3,3,5,2,18,4,7.5
Male,Service,Yes,2,5,5.2,0.34,38,7.1,4,3,2,12,5,7.5
Female,Product,Yes,2,4,5.3,0.34,41,7.1,3,3,2,9,3,7.5
Female,Service,No,4,6,7.753678926347373,0.67,56,5.8,2,2,4,16,1,6.0
Female,Product,Yes,4,7,8.9,0.76,53,5.1,1,3,5,3,1,5.5
Female,Product,Yes,3,4,5.2,0.46,59,5.0,2,2,5,11,1,5.0
Male,Service,Yes,2,5,4.5,0.36,42,7.8,5,5,2,3,4,8.0
Female,Product,No,2,3,6.6,0.45,54,4.9,1,1,4,19,1,5.0
Female,Product,Yes,3,5,3.8,0.27,36,7.0,3,5,1,10,4,7.0
Male,Product,No,3,7,7.6,0.65,52,5.3,1,3,4,5,1,5.5
Female,Product,Yes,3,6,5.6,0.34,37,6.3,4,4,2,18,2,6.5
Female,Service,Yes,1,3,5.4,0.37,41,7.3,5,5,1,4,2,7.5
Male,Product,Yes,1,2,4.9,0.25,37,7.0,5,3,3,11,2,7.0
Male,Service,No,2,5,7.3,0.57,57,5.3,2,3,4,13,1,5.5
Male,Service,No,2,5,5.6,0.52,58,5.5,2,2,4,19,0,5.5
Female,Product,No,4,8,7.8,0.75,55,6.0,2,3,5,18,0,6.0
Female,Product,Yes,4,7,6.7,0.55,59,4.5,1,3,5,17,1,4.5
Female,Service,No,1,4,6.5,0.43,56,6.5,1,3,5,8,0,6.5
Female,Service,Yes,0,1,1.8,0.1,35,6.5,5,4,1,17,3,6.5
Female,Product,No,3,6,8.1,0.68,58,6.0,1,2,4,18,1,6.0
Male,Service,Yes,3,7,6.4,0.56,59,5.9,1,3,4,8,0,6.0
Male,Service,Yes,3,8,7.2,0.73,53,5.7,2,1,5,17,1,6.0
Female,Service,No,2,5,8.6,0.7,50,5.0,2,1,4,10,0,5.0
Male,Service,No,2,5,6.9229327737819135,0.58,49,6.4,1,2,5,18,0,6.5
Male,Product,No,4,8,9.5,0.88,59,6.0,1,2,4,8,1,6.0
Male,Product,Yes,2,6,6.8,0.63,55,6.1,2,2,5,4,0,6.5
Female,Service,No,2,5,6.5,0.62,48,5.6,1,1,4,12,1,6.0
Female,Service,Yes,2,3,3.5,0.25,36,7.5,5,3,2,13,4,7.5
Male,Service,No,2,3,4.8,0.4,42,6.5,5,4,2,5,3,6.5
Male,Product,No,3,8,7.6,0.77,49,6.4,1,3,5,5,1,6.5
Male,Product,Yes,3,6,6.2,0.58,49,5.1,2,2,5,15,0,5.5
Female,Product,Yes,3,6,3.6,0.3,43,6.6,5,3,1,7,2,7.0
Male,Product,No,3,6,8.0,0.61,56,5.6,1,1,4,6,0,6.0
Female,Service,Yes,3,5,6.0,0.4,43,6.6,5,4,3,13,4,7.0
Female,Service,Yes,1,3,3.8,0.33,44,7.5,4,5,2,17,2,7.5
Female,Product,Yes,1,2,2.4,0.06,37,6.8,3,3,1,5,3,7.0
Male,Service,Yes,1,4,4.3,0.36,43,7.3,3,3,2,11,4,7.5
Female,Service,Yes,1,2,3.7,0.28,38,6.7,3,4,2,7,4,7.0
Male,Product,Yes,2,5,5.6,0.37,35,6.4,5,5,1,8,3,6.5
Female,Service,Yes,0,1,1.0,0.03,38,6.6,3,3,2,6,5,7.0
Female,Product,Yes,2,5,7.2,0.67,48,5.0,2,3,4,9,0,5.0
Male,Service,Yes,1,3,6.7,0.46,49,5.3,1,2,4,17,0,5.5
Female,Service,Yes,3,8,7.5,0.72,49,4.9,2,1,5,13,1,5.0
Female,Service,No,3,6,7.914290606077006,0.69,58,5.5,2,2,4,17,1,5.5
Female,Service,No,4,7,7.5,0.65,52,5.4,1,3,5,14,0,5.5
Female,Product,No,0,1,4.0,0.24,41,7.0,3,3,1,10,5,7.0
Female,Service,Yes,1,3,5.3,0.41,48,5.9,1,3,4,3,0,6.0
Female,Product,No,2,5,7.5,0.68,57,5.6,2,2,4,7,1,6.0
Female,Service,Yes,1,2,5.529990978178525,0.42,54,5.5,1,3,5,15,1,5.5
Male,Product,No,4,7,7.7,0.72,52,5.0,1,1,4,3,1,5.0
Male,Service,Yes,0,2,4.4,0.33,44,6.9,3,4,3,8,3,7.0
Female,Service,Yes,2,3,4.991321734359487,0.37,44,7.2,5,4,2,15,3,7.5
Male,Service,Yes,4,6,7.100852806418033,0.6,58,6.3,2,3,4,15,0,6.5
Male,Service,Yes,3,5,6.5,0.48,48,5.6,1,3,5,8,1,6.0
Male,Product,Yes,2,4,5.5,0.48,49,5.7,1,2,4,4,0,6.0
Male,Service,No,2,5,5.0,0.36,38,7.3,3,5,2,4,2,7.5
Female,Service,Yes,1,1,3.8363987797606756,0.24,43,6.4,3,5,2,10,3,6.5
Male,Product,No,4,10,9.2,0.91,53,5.7,2,3,4,8,1,6.0
Female,Product,Yes,1,2,4.1,0.24,42,6.6,3,4,3,11,2,7.0
Female,Service,No,3,6,5.5,0.45,52,6.0,2,2,5,3,0,6.0
Male,Service,No,5,9,8.8,0.85,51,5.8,1,3,5,10,0,6.0
Female,Service,No,2,4,5.5,0.34,36,6.7,3,4,3,7,5,7.0
Male,Product,Yes,1,3,5.9,0.36,41,6.9,5,5,3,8,3,7.0
Female,Service,Yes,2,4,4.5,0.34,41,7.5,3,5,1,15,5,7.5
Male,Product,No,3,6,8.0,0.59,57,4.9,1,3,4,5,0,5.0
Female,Service,Yes,2,4,5.8,0.44,59,5.2,2,2,5,10,0,5.5
Male,Service,No,1,3,4.4,0.38,41,6.5,3,5,3,7,5,6.5
Male,Product,No,3,6,7.5,0.59,59,6.1,2,2,5,4,1,6.5
Female,Service,No,2,7,8.0,0.7,58,5.6,1,1,4,13,1,6.0
Male,Product,No,2,3,6.1,0.42,49,5.9,2,3,5,3,0,6.0
Male,Product,Yes,1,2,5.1,0.46,59,5.4,2,2,4,12,0,5.5
Female,Service,Yes,3,4,6.039142243545666,0.48,51,5.5,1,2,4,13,1,5.5
Female,Service,Yes,3,5,4.7,0.39,35,6.4,5,4,2,4,5,6.5
Female,Service,Yes,3,5,5.2,0.42,52,4.9,1,1,4,16,0,5.0
Male,Product,Yes,0,1,0.0,0.0,42,7.0,3,4,1,17,5,7.0
Female,Service,Yes,2,5,5.1,0.46,59,6.1,2,2,5,3,0,6.5
Male,Product,Yes,1,2,4.4,0.3,37,6.3,5,3,2,17,3,6.5
Female,Product,No,4,6,6.9,0.63,56,5.9,2,1,5,14,1,6.0
Female,Service,No,2,5,5.3,0.45,59,5.8,2,1,4,8,1,6.0
Male,Service,No,2,3,6.167037320994679,0.49,53,5.9,2,1,5,8,0,6.0
Female,Service,Yes,3,6,6.0,0.58,52,5.8,1,3,5,18,1,6.0
Male,Product,No,4,7,8.6,0.67,53,5.2,2,2,5,7,1,5.5
Male,Service,No,2,5,7.3,0.71,56,5.1,1,2,4,4,1,5.5
Female,Service,Yes,1,3,5.5,0.48,51,5.6,2,3,4,8,0,6.0
Male,Service,Yes,1,3,2.9,0.22,43,7.0,5,5,3,16,4,7.0
Female,Product,No,3,6,5.1,0.43,50,5.6,1,2,5,16,1,6.0
Male,Service,Yes,4,8,8.323030813436237,0.74,50,5.1,1,1,4,8,1,5.5
Male,Service,No,2,5,6.4,0.57,49,5.4,1,2,5,17,0,5.5
Female,Service,Yes,2,3,3.6111988069077414,0.22,44,6.7,5,4,3,17,3,7.0
Female,Service,No,3,5,5.8,0.47,51,6.0,2,1,4,19,0,6.0
Female,Service,Yes,3,4,6.1,0.47,57,5.9,2,2,5,3,1,6.0
Female,Service,Yes,3,5,5.3,0.47,59,5.2,1,3,5,15,1,5.5
Female,Product,Yes,1,4,5.5,0.34,41,7.3,3,4,1,5,3,7.5
Female,Service,Yes,1,3,5.5,0.37,38,6.8,4,5,3,3,4,7.0
Female,Service,No,3,7,7.8,0.8,59,5.8,2,2,5,4,1,6.0
Male,Product,No,4,8,8.9,0.8,54,5.9,2,1,4,6,0,6.0
Female,Service,Yes,1,4,6.9,0.49,52,5.8,2,3,5,15,0,6.0
Female,Service,Yes,1,3,4.778846282692384,0.35,42,7.3,4,3,2,5,2,7.5
Male,Service,Yes,0,1,0.0,0.0,38,7.7,3,5,1,19,3,8.0
Male,Service,Yes,4,9,9.3,0.86,48,5.6,1,2,5,13,0,6.0
Female,Service,Yes,1,2,4.6,0.33,38,7.2,4,5,1,11,3,7.5
Female,Service,Yes,3,6,5.7,0.5,53,5.9,2,2,5,13,1,6.0
Female,Service,Yes,2,4,4.5,0.34,35,7.2,3,4,3,3,4,7.5
Male,Product,Yes,0,2,4.7,0.23,44,7.3,3,5,1,8,5,7.5
Male,Product,No,4,8,9.9,0.92,56,5.8,1,2,5,14,1,6.0
Female,Service,Yes,3,6,6.3,0.44,48,5.8,1,2,4,6,0,6.0
Female,Service,Yes,1,3,3.6,0.15,40,6.4,4,3,1,8,5,6.5
Female,Service,Yes,0,2,4.3,0.32,38,6.9,4,4,1,3,4,7.0
Female,Service,Yes,3,4,6.5,0.43,57,5.5,1,3,5,4,0,5.5
Male,Service,No,4,9,8.7,0.78,51,5.7,2,2,4,14,0,6.0
Male,Service,Yes,0,1,3.1,0.23,42,6.6,4,5,1,14,3,7.0
Male,Service,Yes,2,4,3.6,0.21,37,6.1,4,5,3,8,4,6.5
Male,Service,Yes,1,2,3.6,0.23,44,6.9,4,5,1,17,3,7.0
Female,Product,Yes,3,5,5.7,0.4,40,6.2,3,5,2,15,4,6.5
Female,Service,Yes,2,5,5.7,0.38,39,7.0,3,5,3,15,2,7.0
Female,Service,No,0,1,0.5,0.0,38,7.5,3,5,3,10,4,7.5
Female,Product,No,2,4,3.9,0.33,38,6.4,3,5,3,18,5,6.5
Male,Product,Yes,3,6,7.3,0.63,57,5.3,2,1,5,11,0,5.5
Female,Product,No,2,5,7.0,0.62,49,5.4,2,1,5,7,0,5.5
Female,Service,No,2,4,5.154912310001524,0.39,39,6.4,3,3,3,9,5,6.5
Male,Service,Yes,3,4,5.4,0.36,41,6.9,5,4,1,6,5,7.0
Female,Service,Yes,2,3,3.7,0.28,37,7.4,5,4,2,16,5,7.5
Female,Product,No,3,5,7.4,0.56,50,6.3,1,3,5,13,1,6.5
Female,Service,Yes,2,4,6.1,0.41,50,5.5,2,3,5,9,1,5.5
Male,Service,Yes,0,1,2.8,0.1,37,7.2,5,5,3,5,2,7.5
Female,Service,No,2,4,6.9,0.63,58,5.5,2,3,4,13,1,5.5
Male,Service,Yes,3,7,7.3,0.67,51,5.2,2,3,4,19,1,5.5
Male,Service,No,3,7,7.2,0.62,53,5.7,2,2,5,12,0,6.0
Male,Service,Yes,2,7,9.0,0.77,50,5.3,1,1,5,11,0,5.5
Female,Service,No,0,1,0.0,0.0,41,7.2,5,4,3,15,3,7.5
Male,Product,Yes,2,6,5.6,0.51,51,5.6,2,3,5,5,0,6.0
Female,Service,Yes,2,4,6.8,0.61,55,5.6,1,3,5,16,0,6.0
Female,Service,Yes,1,3,5.1,0.41,48,4.8,2,3,4,3,0,5.0
Female,Service,Yes,3,5,6.0,0.53,59,4.7,2,3,4,18,0,5.0
Female,Service,Yes,1,3,6.8,0.5,51,5.6,2,3,5,3,0,6.0
Male,Product,Yes,2,5,6.5,0.55,55,5.1,2,3,4,6,1,5.5
Male,Service,Yes,4,6,5.7,0.49,59,6.2,2,2,5,17,0,6.5
Male,Service,Yes,2,4,6.9,0.57,55,6.1,2,3,5,7,0,6.5
Male,Product,Yes,3,5,6.1,0.44,55,4.7,1,3,4,18,0,5.0
Male,Service,Yes,3,7,8.8,0.7,53,5.0,2,3,4,7,1,5.0
Female,Service,Yes,1,2,6.8,0.48,59,6.0,2,1,5,7,1,6.0
Male,Product,No,0,1,3.8,0.23,35,7.1,3,4,2,9,4,7.5
Male,Service,No,4,7,8.849953392696829,0.79,57,5.2,2,3,5,19,1,5.5
Male,Service,No,2,5,6.8,0.6,59,6.0,1,3,5,11,1,6.0
Male,Product,Yes,2,4,5.5,0.48,48,5.3,2,3,5,11,1,5.5
Female,Service,Yes,2,3,4.5,0.21,43,7.2,4,3,3,17,5,7.5
Female,Product,No,2,2,2.6,0.15,35,7.3,4,5,2,4,3,7.5
Male,Service,No,5,10,10.0,0.98,55,5.8,1,3,5,15,0,6.0
Female,Service,Yes,1,2,4.3,0.25,36,6.4,5,3,1,18,2,6.5
Male,Product,No,3,8,8.8,0.7,58,5.5,2,1,5,7,1,5.5
Female,Service,No,4,7,7.2,0.69,58,5.8,2,3,4,3,0,6.0
Male,Service,Yes,1,3,4.4,0.33,43,7.3,4,5,2,14,2,7.5
Female,Service,No,2,4,5.5,0.44,57,5.8,2,3,4,6,1,6.0
Female,Product,No,2,5,7.8,0.57,51,5.1,1,2,5,5,0,5.5
Male,Product,Yes,1,3,4.5,0.27,38,7.9,5,3,2,10,4,8.0
Male,Service,No,4,6,6.7,0.67,52,6.0,1,3,4,18,1,6.0
Female,Service,No,1,1,3.4,0.25,35,7.2,3,3,2,19,3,7.5
Female,Service,No,0,1,3.6,0.18,39,7.3,4,5,2,11,2,7.5
Female,Product,No,3,7,7.9,0.6,52,6.3,2,1,5,16,1,6.5
Female,Service,Yes,2,5,5.3,0.39,44,6.6,3,3,1,4,4,7.0
Female,Service,Yes,1,3,5.3,0.34,38,7.1,4,4,3,4,4,7.5
Female,Product,No,3,6,5.5,0.52,48,5.7,1,2,4,8,1,6.0
Female,Product,No,1,3,5.4,0.42,49,5.3,2,1,4,14,0,5.5
Male,Product,Yes,1,1,4.8,0.28,38,6.7,4,4,3,8,4,7.0
Female,Product,Yes,2,4,6.2,0.38,37,7.4,3,5,3,4,3,7.5
Male,Product,No,4,6,6.9,0.59,53,4.6,2,3,5,19,1,5.0
Female,Product,Yes,2,5,8.0,0.62,54,5.3,1,3,4,12,1,5.5
Male,Product,No,3,7,8.7,0.76,49,5.0,2,2,5,13,0,5.0
Female,Service,No,1,3,4.2,0.33,36,7.7,4,3,3,3,3,8.0
Male,Service,No,2,2,4.2,0.28,42,6.7,5,4,3,19,2,7.0
Female,Service,No,3,6,7.2,0.62,48,5.1,2,2,4,13,0,5.5
Female,Service,Yes,2,4,5.2,0.45,51,6.4,1,3,4,7,0,6.5
Male,Service,Yes,2,2,3.3,0.24,37,6.5,3,5,2,7,3,6.5
Male,Service,No,2,5,6.3,0.53,51,5.8,1,2,4,15,0,6.0
Male,Service,Yes,2,4,6.8,0.59,53,5.5,2,1,4,18,0,5.5
Male,Product,Yes,3,6,7.5411525680036355,0.65,48,5.5,2,2,4,19,1,5.5
Male,Product,Yes,3,5,3.8,0.29,39,6.7,4,3,3,12,3,7.0
Female,Product,Yes,1,2,2.7,0.19,40,6.2,5,3,2,5,5,6.5
Female,Service,No,4,7,8.1,0.65,57,6.0,1,1,4,15,0,6.0
Female,Product,Yes,1,1,1.3,0.02,41,8.0,3,4,1,4,4,8.0
Female,Service,Yes,2,4,7.0,0.47,58,5.8,1,1,5,3,1,6.0
Male,Service,No,4,7,9.129734803459957,0.82,56,6.0,1,1,5,5,1,6.0
Female,Service,No,2,5,6.6,0.43,57,5.9,2,1,4,14,0,6.0
Female,Service,No,2,5,7.9,0.61,54,4.6,1,2,4,14,0,5.0
Female,Product,No,0,2,4.7,0.33,44,6.9,4,5,1,9,2,7.0
Female,Service,No,2,4,7.9,0.6,57,5.3,2,3,5,8,0,5.5
Female,Product,No,2,6,6.4,0.52,52,5.5,2,2,4,19,1,5.5
Male,Service,Yes,5,9,9.3,0.93,55,5.0,1,3,5,7,1,5.0
Male,Product,No,2,4,6.3,0.47,48,5.0,1,2,4,10,0,5.0
Male,Service,No,2,4,6.4,0.53,48,5.3,2,3,5,5,1,5.5
Male,Service,No,3,7,6.9,0.51,49,4.6,2,2,5,13,1,5.0
Female,Service,Yes,1,1,4.9,0.26,36,6.9,4,4,1,11,2,7.0
Female,Product,Yes,3,4,5.2,0.42,55,5.6,1,1,5,3,0,6.0
Female,Service,No,2,5,6.2,0.58,52,5.7,2,2,5,13,1,6.0
Female,Service,Yes,1,2,5.3,0.3,36,7.0,5,5,1,6,2,7.0
Male,Product,Yes,3,6,6.2,0.56,48,6.6,1,2,4,4,1,7.0
Male,Product,No,2,5,6.1,0.57,53,5.7,2,1,4,10,0,6.0
Female,Service,Yes,2,3,5.5,0.3,35,6.5,3,5,1,10,2,6.5
Male,Service,No,4,8,9.5,0.86,48,5.1,1,2,4,8,0,5.5
Male,Product,No,2,6,6.3,0.62,58,6.0,1,3,4,17,0,6.0
Male,Service,Yes,3,5,5.2,0.41,49,5.3,1,3,4,18,0,5.5
Male,Service,Yes,1,4,5.1,0.38,43,7.5,4,4,3,3,2,7.5
Female,Service,Yes,2,5,5.9,0.41,52,5.4,1,2,4,5,0,5.5
Female,Service,No,2,5,5.8,0.46,50,4.9,2,3,5,7,1,5.0
Female,Service,No,2,4,5.9,0.44,55,5.6,2,1,5,16,1,6.0
Female,Product,No,1,1,3.2,0.24,39,6.6,5,5,1,6,2,7.0
Female,Service,Yes,2,4,6.1,0.39,40,7.3,5,3,3,14,4,7.5
Female,Service,No,2,4,7.5,0.53,55,5.5,2,3,4,12,0,5.5
Female,Service,No,2,4,6.0,0.53,49,4.9,1,3,5,7,0,5.0
Female,Service,No,2,2,3.9,0.21,40,5.6,4,5,3,16,3,6.0
Male,Service,No,4,8,8.4,0.77,59,6.4,1,3,4,16,1,6.5
Female,Product,Yes,1,2,6.0,0.37,41,7.0,5,4,1,11,3,7.0
Male,Service,No,3,8,10.087970567950956,0.93,55,5.0,1,1,5,19,1,5.0
